[09/09/20 15:48:08] [INFO] received Windows console close event; shutting log-core down
[09/09/20 15:55:06] [INFO] received Windows console close event; shutting log-core down
[09/09/20 16:47:06] [INFO] received Windows console close event; shutting log-core down
[09/09/20 17:22:23] [INFO] received Windows console close event; shutting log-core down
[09/09/20 18:30:51] [INFO] received Windows console close event; shutting log-core down
[09/09/20 18:59:34] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:02:35] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:11:58] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:19:58] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:20:38] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:36:40] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:37:05] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:41:10] [INFO] received Windows console close event; shutting log-core down
[09/09/20 19:43:49] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:16:43] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:18:01] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:19:48] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:32:09] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:38:35] [INFO] received Windows console close event; shutting log-core down
[09/09/20 22:55:05] [INFO] received Windows console close event; shutting log-core down
[09/10/20 09:17:39] [INFO] received Windows console close event; shutting log-core down
[09/10/20 09:21:22] [INFO] received Windows console close event; shutting log-core down
[09/10/20 10:23:19] [INFO] received Windows console close event; shutting log-core down
[09/10/20 10:57:45] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:00:22] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:01:48] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:05:45] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:06:37] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:09:39] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:11:16] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:19:23] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:39:20] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:51:23] [INFO] received Windows console close event; shutting log-core down
[09/10/20 11:55:36] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:02:29] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:05:15] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:06:24] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:08:29] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:11:44] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:12:46] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:14:45] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:20:45] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:20:57] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:22:18] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:23:31] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:24:16] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:31:21] [INFO] received Windows console close event; shutting log-core down
[09/10/20 12:53:50] [INFO] received Windows console close event; shutting log-core down
[09/10/20 13:18:56] [INFO] received Windows console close event; shutting log-core down
[09/10/20 13:21:54] [INFO] received Windows console close event; shutting log-core down
[09/10/20 13:22:23] [INFO] received Windows console close event; shutting log-core down
